problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,7869,220824,245.90625,247.0,3.6042929153101357,12.990927419354838,233,247,6900.75,6899.5,6.956083436402524,48.38709677419355,6882,6917,1.0,1.0,1.0,1.0
Nomystery,32,5342,223303,166.9375,172.0,19.117527002980207,365.47983870967744,136,199,6978.21875,7029.0,140.40901872857947,19714.69254032258,6724,7139,0.99,0.99,1.0,1.0
Ricochet Robots,32,4980,198896,155.625,152.0,18.375562313098904,337.66129032258067,152,256,6215.5,6208.0,36.65444566620499,1343.5483870967741,6168,6313,0.99,0.99,0.98,0.98
Sokoban,32,12566,429617,392.6875,378.0,47.1445529299806,2222.608870967742,347,519,13425.53125,13346.5,374.0407933915333,139906.51512096773,13018,14521,0.92,0.92,1.0,0.96
