problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,352,9909,11.0,11.0,0.0,0.0,11,11,309.65625,307.0,4.209125071908382,17.71673387096774,305,314,1.0,1.0,1.0,1.0
Crossing Minimization,32,17744,71760,554.5,560.5,133.89764988662532,17928.58064516129,313,826,2242.5,2251.0,152.7544941527776,23333.935483870966,1993,2497,0.91,0.91,0.91,0.91
Graceful Graphs,32,2744,12695,85.75,105.0,20.96233180823903,439.4193548387097,63,105,396.71875,397.0,2.0515041688572584,4.20866935483871,393,400,1.0,1.0,1.0,1.0
Graph Colouring,32,19140,73008,598.125,607.0,151.93541709470486,23084.370967741936,207,921,2281.5,2253.0,302.85959698162276,91723.93548387097,1470,2661,0.99,0.99,1.0,0.99
Incremental Scheduling,32,27503,389418,859.46875,816.0,173.64479583611984,30152.515120967742,649,1368,12169.3125,11286.0,1206.1739680199669,1454855.6411290322,10936,13750,0.83,0.83,0.98,0.9
Knight Tour,32,1780,23264,55.625,59.0,23.677606134448315,560.6290322580645,16,90,727.0,742.0,52.62895069838371,2769.8064516129034,643,809,0.75,0.75,0.73,0.74
Knight Tour With Holes,32,2667,26424,83.34375,72.5,27.62141452428859,762.9425403225806,38,129,825.75,827.0,6.319452814205336,39.935483870967744,803,835,0.97,0.97,0.69,0.79
Labyrinth,32,112858,96376,3526.8125,3221.5,1566.901059879536,2455178.931451613,1538,6618,3011.75,3010.5,6.956083436402524,48.38709677419355,2993,3028,1.0,1.0,1.0,1.0
Maximal Clique Problem,32,5062,28562,158.1875,165.0,20.257117427008534,410.3508064516129,108,181,892.5625,897.0,14.615364209206074,213.60887096774192,853,915,1.0,1.0,0.99,1.0
Nomystery,32,8326,96071,260.1875,257.0,31.854951000210413,1014.7379032258065,205,319,3002.21875,3053.0,140.40901872857947,19714.69254032258,2748,3163,1.0,1.0,0.89,0.94
Partner Units,32,8630,44955,269.6875,266.0,54.462438965442196,2966.157258064516,201,462,1404.84375,1401.0,14.721302044009821,216.71673387096774,1398,1479,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,7480,51828,233.75,172.0,139.26836474718456,19395.677419354837,123,754,1619.625,1621.5,35.86061726975348,1285.983870967742,1542,1692,0.85,0.85,0.99,0.89
Ricochet Robots,32,7187,92304,224.59375,218.0,12.783203129813142,163.4102822580645,213,242,2884.5,2877.0,36.65444566620499,1343.5483870967741,2837,2982,0.85,0.85,0.68,0.75
Sokoban,32,20584,219537,643.25,593.0,126.60046374067845,16027.677419354839,461,971,6860.53125,6781.5,374.0407933915333,139906.51512096773,6453,7956,0.88,0.88,1.0,0.93
Stable Marriage,32,8599,36898,268.71875,274.0,22.8899673402718,523.9506048387096,223,341,1153.0625,1151.0,9.96101270923536,99.22177419354838,1127,1173,0.94,0.94,0.91,0.92
Valves Location Problem,32,8609,119464,269.03125,250.5,97.08475989999002,9425.45060483871,166,597,3733.25,3728.0,68.01470429252781,4626.0,3605,3881,0.9,0.9,0.81,0.85
