problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,162,13109,5.0625,5.0,1.1053389496206072,1.221774193548387,4,7,409.65625,407.0,4.209125071908382,17.71673387096774,405,414,0.5,0.5,0.5,0.5
Crossing Minimization,32,11736,85136,366.75,365.0,79.62371181922485,6339.935483870968,238,500,2660.5,2669.0,152.7544941527776,23333.935483870966,2411,2915,0.97,0.97,0.99,0.98
Graceful Graphs,32,1548,16023,48.375,48.0,1.4756081305138942,2.1774193548387095,48,54,500.71875,501.0,2.0515041688572584,4.20866935483871,497,504,1.0,1.0,1.0,1.0
Graph Colouring,32,16997,82736,531.15625,528.0,142.81368629068953,20395.748991935485,179,877,2585.5,2557.0,302.85959698162276,91723.93548387097,1774,2965,0.9,0.9,0.92,0.91
Incremental Scheduling,32,21599,437002,674.96875,671.0,132.02357667624028,17430.2247983871,485,980,13656.3125,12773.0,1206.1739680199669,1454855.6411290322,12423,15237,0.68,0.68,0.92,0.78
Knight Tour,32,1186,30432,37.0625,43.0,19.43216073852164,377.60887096774195,6,69,951.0,966.0,52.62895069838371,2769.8064516129034,867,1033,0.94,0.94,0.93,0.93
Knight Tour With Holes,32,1327,32920,41.46875,36.5,14.582323313718101,212.64415322580646,18,60,1028.75,1030.0,6.319452814205336,39.935483870967744,1006,1038,0.99,0.99,0.71,0.8
Labyrinth,32,29096,112952,909.25,902.5,588.8938236081874,346795.93548387097,321,2409,3529.75,3528.5,6.956083436402524,48.38709677419355,3511,3546,1.0,1.0,0.64,0.69
Maximal Clique Problem,32,3432,35090,107.25,106.5,11.978475318993729,143.48387096774192,86,155,1096.5625,1101.0,14.615364209206074,213.60887096774192,1057,1119,0.99,0.99,1.0,0.99
Nomystery,32,5602,113028,175.0625,173.0,16.8579214652647,284.18951612903226,146,218,3532.125,3584.0,139.8025681613758,19544.75806451613,3274,3694,1.0,1.0,0.9,0.94
Partner Units,32,5376,54427,168.0,165.0,12.971432631599681,168.25806451612902,165,237,1700.84375,1697.0,14.721302044009821,216.71673387096774,1694,1775,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,4072,61588,127.25,117.0,24.60133749314482,605.2258064516129,97,188,1924.625,1926.5,35.86061726975348,1285.983870967742,1847,1997,0.71,0.71,0.89,0.79
Ricochet Robots,32,4382,108976,136.9375,130.0,18.91907639428794,357.93145161290323,123,220,3405.5,3398.0,36.65444566620499,1343.5483870967741,3358,3503,0.9,0.9,0.73,0.8
Sokoban,32,13492,249489,421.625,406.5,47.65991756114863,2271.467741935484,375,558,7796.53125,7717.5,374.0407933915333,139906.51512096773,7389,8892,0.92,0.92,1.0,0.96
Stable Marriage,32,5482,44354,171.3125,176.0,17.73903568677774,314.6733870967742,143,242,1386.0625,1384.0,9.96101270923536,99.22177419354838,1360,1406,0.95,0.95,0.92,0.94
Valves Location Problem,32,5303,139306,165.71875,163.0,24.15038151705589,583.2409274193549,121,219,4353.3125,4346.0,67.83492178003323,4601.576612903225,4229,4499,0.87,0.87,0.81,0.84
