problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,143,10229,4.46875,4.0,0.5070073486774164,0.25705645161290325,4,5,319.65625,317.0,4.209125071908382,17.71673387096774,315,324,0.53,0.53,0.53,0.53
Crossing Minimization,32,11632,25932,363.5,362.0,80.20457713589909,6432.774193548387,238,510,810.375,812.5,38.1886235381944,1458.3709677419354,748,874,0.98,0.98,1.0,0.99
Graceful Graphs,32,1536,10167,48.0,48.0,0.0,0.0,48,48,317.71875,318.0,2.0515041688572584,4.20866935483871,314,321,1.0,1.0,1.0,1.0
Graph Colouring,32,27561,23600,861.28125,932.0,268.10977943865674,71882.85383064517,276,1518,737.5,728.0,100.95319899387425,10191.548387096775,467,864,0.59,0.59,0.88,0.7
Incremental Scheduling,32,16494,50947,515.4375,542.5,110.01376380165553,12103.02822580645,340,729,1592.09375,1529.0,86.15528342999764,7422.732862903225,1504,1705,0.89,0.89,0.96,0.92
Knight Tour,32,1181,10304,36.90625,43.0,20.61687278780143,425.0554435483871,4,69,322.0,329.5,26.314475349191856,692.4516129032259,280,363,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,1906,12172,59.5625,60.0,1.7215428189328765,2.963709677419355,53,60,380.375,381.0,3.159726407102668,9.983870967741936,369,385,1.0,1.0,1.0,1.0
Labyrinth,31,57563,34835,1856.8709677419354,1586.0,1201.307696968474,1443140.182795699,843,6997,1123.7096774193549,1123.0,1.3950758255879085,1.9462365591397843,1120,1127,0.99,0.99,0.99,0.99
Maximal Clique Problem,32,3444,17337,107.625,106.0,12.597362755239557,158.69354838709677,90,162,541.78125,544.0,7.307682104603037,53.40221774193548,522,553,0.99,0.99,1.0,0.99
Nomystery,32,6063,36283,189.46875,188.0,16.192360554365774,262.19254032258067,164,206,1133.84375,1144.0,28.08180374571589,788.5877016129032,1083,1166,0.99,0.99,0.98,0.98
Partner Units,32,5384,17705,168.25,165.0,12.988828947189768,168.70967741935485,165,237,553.28125,552.0,4.907100681336607,24.079637096774192,551,578,0.39,0.39,0.39,0.39
Permutation Pattern Matching,32,3226,20572,100.8125,101.0,3.779720931838837,14.286290322580646,89,107,642.875,643.5,11.953539089917829,142.88709677419354,617,667,0.97,0.97,0.96,0.96
Ricochet Robots,32,4100,29584,128.125,120.0,24.649478172844724,607.5967741935484,111,192,924.5,923.0,7.3308891332409996,53.74193548387097,915,944,0.94,0.94,0.66,0.77
Sokoban,32,12765,39049,398.90625,389.5,34.65252341507409,1200.797379032258,348,484,1220.28125,1211.5,41.56008815461482,1727.2409274193549,1175,1342,0.96,0.96,0.99,0.97
Stable Marriage,32,5632,27041,176.0,176.0,0.0,0.0,176,176,845.03125,844.0,4.98050635461768,24.805443548387096,832,855,0.98,0.98,0.98,0.98
Valves Location Problem,32,5310,31436,165.9375,164.0,10.460177942111939,109.41532258064517,153,215,982.375,981.5,11.335784048754634,128.5,961,1007,1.0,1.0,0.99,0.99
