problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,15712,96152,491.0,500.0,47.8276475583709,2287.483870967742,314,528,3004.75,3003.5,6.956083436402524,48.38709677419355,2986,3021,1.0,1.0,1.0,1.0
Nomystery,32,7280,95911,227.5,229.0,28.12988308864161,791.2903225806451,177,285,2997.21875,3048.0,140.40901872857947,19714.69254032258,2743,3158,1.0,1.0,0.88,0.93
Ricochet Robots,32,8119,92944,253.71875,254.0,0.45680340939917435,0.2086693548387097,253,254,2904.5,2897.0,36.65444566620499,1343.5483870967741,2857,3002,1.0,1.0,1.0,1.0
Sokoban,32,19992,219377,624.75,590.0,138.28465265997642,19122.645161290322,449,943,6855.53125,6776.5,374.0407933915333,139906.51512096773,6448,7951,0.88,0.88,1.0,0.93
