problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,161,13109,5.03125,4.0,1.1495967034769894,1.3215725806451613,4,7,409.65625,407.0,4.209125071908382,17.71673387096774,405,414,0.53,0.53,0.53,0.53
Crossing Minimization,32,11746,85136,367.0625,365.5,80.31949809475623,6451.221774193548,238,500,2660.5,2669.0,152.7544941527776,23333.935483870966,2411,2915,0.97,0.97,0.99,0.98
Graceful Graphs,32,1554,16023,48.5625,48.0,3.181980515339464,10.125,48,66,500.71875,501.0,2.0515041688572584,4.20866935483871,497,504,0.99,0.99,1.0,1.0
Graph Colouring,32,17145,82736,535.78125,526.0,149.22957727565594,22269.466733870966,179,861,2585.5,2557.0,302.85959698162276,91723.93548387097,1774,2965,0.91,0.91,0.92,0.92
Incremental Scheduling,32,20541,437002,641.90625,650.0,94.18833547909519,8871.442540322581,508,834,13656.3125,12773.0,1206.1739680199669,1454855.6411290322,12423,15237,0.69,0.69,0.93,0.79
Knight Tour,32,1199,30432,37.46875,43.0,19.694414428396172,387.86995967741933,6,69,951.0,966.0,52.62895069838371,2769.8064516129034,867,1033,0.94,0.94,0.94,0.94
Knight Tour With Holes,32,1327,32920,41.46875,36.5,14.582323313718101,212.64415322580646,18,60,1028.75,1030.0,6.319452814205336,39.935483870967744,1006,1038,0.99,0.99,0.71,0.8
Labyrinth,32,29165,112952,911.40625,899.0,587.516031867738,345175.0877016129,321,2409,3529.75,3528.5,6.956083436402524,48.38709677419355,3511,3546,1.0,1.0,0.64,0.69
Maximal Clique Problem,32,3432,35090,107.25,106.5,11.978475318993729,143.48387096774192,86,155,1096.5625,1101.0,14.615364209206074,213.60887096774192,1057,1119,0.99,0.99,1.0,0.99
Nomystery,32,5644,113063,176.375,173.0,17.979827405967697,323.2741935483871,146,218,3533.21875,3584.0,140.40901872857947,19714.69254032258,3279,3694,0.99,0.99,0.9,0.95
Partner Units,32,5376,55195,168.0,165.0,12.971432631599681,168.25806451612902,165,237,1724.84375,1721.0,14.721302044009821,216.71673387096774,1718,1799,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,4233,61588,132.28125,137.0,26.56365984185064,705.6280241935484,99,212,1924.625,1926.5,35.86061726975348,1285.983870967742,1847,1997,0.68,0.68,0.88,0.76
Ricochet Robots,32,4487,108976,140.21875,131.5,19.073261769192207,363.789314516129,123,220,3405.5,3398.0,36.65444566620499,1343.5483870967741,3358,3503,0.88,0.88,0.74,0.8
Sokoban,32,13468,249489,420.875,406.5,47.04819080543391,2213.532258064516,375,557,7796.53125,7717.5,374.0407933915333,139906.51512096773,7389,8892,0.92,0.92,1.0,0.96
Stable Marriage,32,5487,44354,171.46875,176.0,17.630589939446246,310.83770161290323,143,242,1386.0625,1384.0,9.96101270923536,99.22177419354838,1360,1406,0.95,0.95,0.92,0.93
Valves Location Problem,32,5281,139432,165.03125,162.5,25.283533306316443,639.2570564516129,121,219,4357.25,4352.0,68.01470429252781,4626.0,4229,4505,0.86,0.86,0.82,0.84
