Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,1.00,1.00,1.00,1.00
Nomystery,1.00,1.00,0.90,0.94
Ricochet Robots,0.97,0.97,0.88,0.92
Sokoban,0.93,0.93,1.00,0.96
Overall Results,0.97,0.97,0.94,0.95
