Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,1.00,1.00,1.00,1.00
Nomystery,0.98,0.98,1.00,0.99
Ricochet Robots,1.00,1.00,0.95,0.97
Sokoban,0.92,0.92,0.99,0.95
Overall Results,0.97,0.97,0.99,0.98
