Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.47,0.47,1.00,0.54
Crossing Minimization,0.87,0.87,0.91,0.89
Graceful Graphs,0.96,0.96,0.94,0.95
Graph Colouring,0.72,0.72,0.85,0.77
Incremental Scheduling,0.78,0.78,0.82,0.79
Knight Tour,0.50,0.50,0.50,0.50
Knight Tour With Holes,0.75,0.75,0.74,0.75
Labyrinth,0.94,0.94,0.78,0.80
Maximal Clique Problem,0.95,0.95,0.90,0.92
Nomystery,0.91,0.91,0.68,0.78
Partner Units,0.25,0.25,0.24,0.25
Permutation Pattern Matching,0.63,0.63,0.66,0.64
Ricochet Robots,0.81,0.81,0.61,0.69
Sokoban,0.65,0.65,0.57,0.60
Stable Marriage,0.71,0.71,0.71,0.71
Valves Location Problem,0.90,0.90,0.90,0.89
Overall Results,0.74,0.74,0.74,0.72
