Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.98,0.98,0.91,0.92
Nomystery,0.93,0.93,0.69,0.78
Ricochet Robots,0.90,0.90,0.68,0.77
Sokoban,0.83,0.83,0.79,0.80
Overall Results,0.91,0.91,0.77,0.82
