Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.98,0.98,0.92,0.94
Nomystery,0.96,0.96,0.83,0.89
Ricochet Robots,0.90,0.90,0.78,0.82
Sokoban,0.88,0.88,0.82,0.85
Overall Results,0.93,0.93,0.84,0.88
