problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,351,16373,10.96875,11.0,0.1767766952966369,0.03125,10,11,511.65625,509.0,4.209125071908382,17.71673387096774,507,516,1.0,1.0,1.0,1.0
Crossing Minimization,32,15613,127824,487.90625,469.0,179.58848288652553,32252.02318548387,293,1230,3994.5,4003.0,152.7544941527776,23333.935483870966,3745,4249,0.95,0.95,0.96,0.96
Graceful Graphs,32,1997,16471,62.40625,63.0,9.61134871875682,92.37802419354838,35,92,514.71875,515.0,2.0515041688572584,4.20866935483871,511,518,0.98,0.98,0.93,0.95
Graph Colouring,32,38421,90000,1200.65625,966.0,1026.3141570649484,1053320.7489919355,224,5299,2812.5,2784.0,302.85959698162276,91723.93548387097,2001,3192,0.76,0.76,0.92,0.81
Incremental Scheduling,32,42984,804266,1343.25,1160.5,427.49321820691284,182750.4516129032,865,3081,25133.3125,24250.0,1206.1739680199669,1454855.6411290322,23900,26714,0.45,0.45,0.9,0.59
Knight Tour,32,21469,33760,670.90625,72.0,1911.21596759717,3652746.474798387,32,7985,1055.0,1070.0,52.62895069838371,2769.8064516129034,971,1137,0.79,0.79,0.99,0.8
Knight Tour With Holes,32,2388,36984,74.625,75.0,14.957466578656057,223.7258064516129,54,124,1155.75,1157.0,6.319452814205336,39.935483870967744,1133,1165,0.98,0.98,0.96,0.97
Labyrinth,32,47129,212376,1472.78125,1253.5,1042.1656339897968,1086109.208669355,518,4822,6636.75,6635.5,6.956083436402524,48.38709677419355,6618,6653,0.96,0.96,0.69,0.71
Maximal Clique Problem,32,5819,47634,181.84375,179.0,44.48784493290491,1979.1683467741937,110,303,1488.5625,1493.0,14.615364209206074,213.60887096774192,1449,1511,0.94,0.94,0.98,0.96
Nomystery,32,9345,213831,292.03125,286.0,52.706420233885815,2777.966733870968,188,453,6682.21875,6733.0,140.40901872857947,19714.69254032258,6428,6843,0.96,0.96,0.92,0.93
Partner Units,32,8053,73467,251.65625,215.5,63.19177640198691,3993.2006048387098,189,451,2295.84375,2292.0,14.721302044009821,216.71673387096774,2289,2370,0.97,0.97,0.98,0.97
Permutation Pattern Matching,32,8024,81972,250.75,196.5,187.78281896055933,35262.3870967742,123,1181,2561.625,2563.5,35.86061726975348,1285.983870967742,2484,2634,0.53,0.53,0.74,0.59
Ricochet Robots,32,6856,181744,214.25,209.5,45.38437986228159,2059.7419354838707,147,307,5679.5,5672.0,36.65444566620499,1343.5483870967741,5632,5777,0.68,0.68,0.49,0.56
Sokoban,32,17014,412209,531.6875,479.0,155.36002672253184,24136.737903225807,327,1199,12881.53125,12802.5,374.0407933915333,139906.51512096773,12474,13977,0.85,0.85,0.85,0.84
Stable Marriage,32,13057,68002,408.03125,402.5,106.8986509390116,11427.321572580646,168,706,2125.0625,2123.0,9.96101270923536,99.22177419354838,2099,2145,0.59,0.59,0.89,0.7
Valves Location Problem,32,9265,227176,289.53125,272.5,86.34775316015148,7455.934475806452,208,644,7099.25,7094.0,68.01470429252781,4626.0,6971,7247,0.81,0.81,0.92,0.86
