problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,10883,10581,340.09375,27.0,822.4227921160353,676379.2489919355,5,3626,330.65625,328.0,4.209125071908382,17.71673387096774,326,335,0.43,0.43,1.0,0.5
Crossing Minimization,32,93366,26284,2917.6875,364.0,14416.584592702544,207837911.31854838,235,81920,821.375,823.5,38.1886235381944,1458.3709677419354,759,885,0.89,0.89,0.91,0.9
Graceful Graphs,32,1550,10519,48.4375,49.0,2.7932811091686975,7.80241935483871,37,55,328.71875,329.0,2.0515041688572584,4.20866935483871,325,332,0.95,0.95,0.94,0.94
Graph Colouring,32,23410,23952,731.5625,639.0,429.64350845187766,184593.5443548387,153,2283,748.5,739.0,100.95319899387425,10191.548387096775,478,875,0.71,0.71,0.86,0.76
Incremental Scheduling,32,18577,51299,580.53125,539.5,241.25291031171204,58202.96673387097,298,1279,1603.09375,1540.0,86.15528342999764,7422.732862903225,1515,1716,0.76,0.76,0.79,0.76
Knight Tour,32,1273,10656,39.78125,46.0,20.584576711389932,423.72479838709677,7,72,333.0,340.5,26.314475349191856,692.4516129032259,291,374,0.59,0.59,0.59,0.59
Knight Tour With Holes,32,1957,12524,61.15625,63.0,2.8636698201276065,8.200604838709678,54,63,391.375,392.0,3.159726407102668,9.983870967741936,380,396,0.8,0.8,0.79,0.8
Labyrinth,32,113909,36312,3559.65625,963.0,14319.533175417946,205049030.36189517,134,81920,1134.75,1134.5,1.3912166872805047,1.935483870967742,1131,1138,0.98,0.98,0.64,0.69
Maximal Clique Problem,32,3293,17689,102.90625,106.0,19.136790061840774,366.21673387096774,57,142,552.78125,555.0,7.307682104603037,53.40221774193548,533,564,0.95,0.95,0.87,0.9
Nomystery,32,5532,36635,172.875,171.5,26.129639578764362,682.758064516129,110,218,1144.84375,1155.0,28.08180374571589,788.5877016129032,1094,1177,0.98,0.98,0.8,0.88
Partner Units,32,5349,18057,167.15625,166.0,24.69962697249991,610.0715725806451,55,238,564.28125,563.0,4.907100681336607,24.079637096774192,562,589,0.28,0.28,0.28,0.28
Permutation Pattern Matching,32,3722,20924,116.3125,102.0,28.785567060034477,828.608870967742,84,186,653.875,654.5,11.953539089917829,142.88709677419354,628,678,0.43,0.43,0.46,0.44
Ricochet Robots,32,4354,29936,136.0625,129.0,26.050741429607296,678.641129032258,102,191,935.5,934.0,7.3308891332409996,53.74193548387097,926,955,0.82,0.82,0.61,0.69
Sokoban,32,13385,39401,418.28125,373.0,238.65080906913943,56954.20866935484,208,1610,1231.28125,1222.5,41.56008815461482,1727.2409274193549,1186,1353,0.79,0.79,0.69,0.73
Stable Marriage,32,5961,27393,186.28125,177.0,33.54076419676847,1124.9828629032259,144,309,856.03125,855.0,4.98050635461768,24.805443548387096,843,866,0.71,0.71,0.74,0.72
Valves Location Problem,32,5833,31788,182.28125,170.0,35.88623096092212,1287.8215725806451,124,268,993.375,992.5,11.335784048754634,128.5,972,1018,0.9,0.9,0.9,0.9
