problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,7575,220824,236.71875,240.0,63.386797432191486,4017.8860887096776,163,549,6900.75,6899.5,6.956083436402524,48.38709677419355,6882,6917,0.98,0.98,0.96,0.97
Nomystery,32,5159,223303,161.21875,161.5,24.501131474860237,600.3054435483871,112,201,6978.21875,7029.0,140.40901872857947,19714.69254032258,6724,7139,0.95,0.95,0.87,0.9
Ricochet Robots,32,5172,198896,161.625,158.0,20.03182951076579,401.2741935483871,134,225,6215.5,6208.0,36.65444566620499,1343.5483870967741,6168,6313,0.94,0.94,0.83,0.88
Sokoban,32,12100,429617,378.125,373.5,43.98881822727519,1935.016129032258,301,468,13425.53125,13346.5,374.0407933915333,139906.51512096773,13018,14521,0.84,0.84,0.78,0.8
