problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,7249,221144,226.53125,245.0,40.927145637095194,1675.03125,63,273,6910.75,6909.5,6.956083436402524,48.38709677419355,6892,6927,0.99,0.99,0.97,0.98
Nomystery,32,4745,223335,148.28125,145.5,23.51695939172958,553.047379032258,105,204,6979.21875,7030.0,140.40901872857947,19714.69254032258,6725,7140,0.95,0.95,0.84,0.89
Ricochet Robots,32,4643,199120,145.09375,150.5,22.860529972972223,522.6038306451613,77,173,6222.5,6215.0,36.65444566620499,1343.5483870967741,6175,6320,0.96,0.96,0.84,0.9
Sokoban,32,12210,428261,381.5625,354.0,73.09822710881306,5343.350806451613,306,653,13383.15625,13349.5,493.93065396614065,243967.49092741936,11569,14524,0.87,0.87,0.88,0.87
