problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,7397,112664,231.15625,243.5,50.39208167124365,2539.3618951612902,137,324,3520.75,3519.5,6.956083436402524,48.38709677419355,3502,3537,0.98,0.98,0.96,0.97
Nomystery,32,5301,112868,165.65625,162.5,25.227493163022014,636.4264112903226,121,243,3527.125,3579.0,139.8025681613758,19544.75806451613,3269,3689,0.9,0.9,0.65,0.74
Ricochet Robots,32,5773,110096,180.40625,170.0,34.793269070046364,1210.5715725806451,119,279,3440.5,3433.0,36.65444566620499,1343.5483870967741,3393,3538,0.8,0.8,0.64,0.7
Sokoban,32,11338,249329,354.3125,346.0,55.03455659269763,3028.8024193548385,264,524,7791.53125,7712.5,374.0407933915333,139906.51512096773,7384,8887,0.83,0.83,0.72,0.77
