problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Labyrinth,32,7167,220824,223.96875,241.0,41.763917421466786,1744.2247983870968,135,308,6900.75,6899.5,6.956083436402524,48.38709677419355,6882,6917,0.98,0.98,0.96,0.97
Nomystery,32,5272,223268,164.75,164.5,27.630044423393706,763.4193548387096,116,217,6977.125,7029.0,139.8025681613758,19544.75806451613,6719,7139,0.94,0.94,0.83,0.88
Ricochet Robots,32,5544,198896,173.25,168.0,22.755360942268158,517.8064516129032,144,249,6215.5,6208.0,36.65444566620499,1343.5483870967741,6168,6313,0.95,0.95,0.84,0.89
Sokoban,32,12416,429617,388.0,371.5,76.98261219681469,5926.322580645161,303,661,13425.53125,13346.5,374.0407933915333,139906.51512096773,13018,14521,0.83,0.83,0.81,0.82
