problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,527,5045,16.46875,4.0,16.898147207083326,285.54737903225805,4,60,157.65625,155.0,4.209125071908382,17.71673387096774,153,162,0.72,0.72,0.91,0.78
Crossing Minimization,32,11578,15788,361.8125,366.5,105.95691074905814,11226.866935483871,180,595,493.375,495.5,38.1886235381944,1458.3709677419354,431,557,0.88,0.88,0.87,0.87
Graceful Graphs,32,1518,6999,47.4375,48.0,5.357764940839633,28.705645161290324,36,72,218.71875,219.0,2.0515041688572584,4.20866935483871,215,222,0.85,0.85,0.83,0.84
Graph Colouring,32,25190,20880,787.1875,561.5,1345.9653314209459,1811622.6733870967,160,8106,652.5,643.0,100.95319899387425,10191.548387096775,382,779,0.81,0.81,0.81,0.8
Incremental Scheduling,32,15920,29539,497.5,473.5,201.78110145210775,40715.6129032258,228,1445,923.09375,860.0,86.15528342999764,7422.732862903225,835,1036,0.81,0.81,0.73,0.76
Knight Tour,32,1331,8384,41.59375,45.0,16.645951508186705,277.08770161290323,16,71,262.0,269.5,26.314475349191856,692.4516129032259,220,303,0.58,0.58,0.58,0.58
Knight Tour With Holes,32,1928,9900,60.25,59.0,4.1191919032115845,16.967741935483872,53,76,309.375,310.0,3.159726407102668,9.983870967741936,298,314,0.49,0.49,0.5,0.49
Labyrinth,32,19757,23992,617.40625,336.0,573.946713238343,329414.8296370968,180,2402,749.75,749.5,1.3912166872805047,1.935483870967742,746,753,0.94,0.94,0.4,0.47
Maximal Clique Problem,32,2922,11705,91.3125,97.0,22.684992196774985,514.608870967742,51,136,365.78125,368.0,7.307682104603037,53.40221774193548,346,377,0.92,0.92,0.76,0.81
Nomystery,32,5703,19387,178.21875,181.5,35.57974630002572,1265.9183467741937,110,236,605.84375,616.0,28.08180374571589,788.5877016129032,555,638,0.96,0.96,0.79,0.86
Partner Units,32,4466,10665,139.5625,130.0,23.173869461236972,537.0282258064516,130,237,333.28125,332.0,4.907100681336607,24.079637096774192,331,358,0.19,0.19,0.15,0.17
Permutation Pattern Matching,32,3216,12380,100.5,101.0,9.456180774430536,89.41935483870968,90,149,386.875,387.5,11.953539089917829,142.88709677419354,361,411,0.49,0.49,0.48,0.48
Ricochet Robots,32,5302,23504,165.6875,163.5,26.093427055177536,680.866935483871,120,228,734.5,733.0,7.3308891332409996,53.74193548387097,725,754,0.7,0.7,0.63,0.66
Sokoban,32,257673,29577,8052.28125,401.0,24138.86497616865,582684802.3377016,229,81920,924.28125,915.5,41.56008815461482,1727.2409274193549,879,1046,0.75,0.75,0.65,0.69
Stable Marriage,32,87665,16929,2739.53125,176.0,14448.82802476777,208768631.2893145,143,81920,529.03125,528.0,4.98050635461768,24.805443548387096,516,539,0.69,0.69,0.71,0.7
Valves Location Problem,32,5972,17580,186.625,178.0,44.522375672058104,1982.241935483871,119,305,549.375,548.5,11.335784048754634,128.5,528,574,0.78,0.78,0.76,0.77
