Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,1.00,1.00,1.00,1.00
Nomystery,0.99,0.99,1.00,0.99
Ricochet Robots,0.96,0.96,0.92,0.94
Sokoban,0.93,0.93,0.99,0.96
Overall Results,0.98,0.98,0.98,0.98
