Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,1.00,1.00,1.00,1.00
Nomystery,1.00,1.00,0.90,0.95
Ricochet Robots,0.97,0.97,0.92,0.95
Sokoban,0.92,0.92,1.00,0.96
Overall Results,0.98,0.98,0.96,0.97
