Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,1.00,1.00,1.00,1.00
Nomystery,1.00,1.00,0.90,0.94
Ricochet Robots,1.00,1.00,0.97,0.98
Sokoban,0.92,0.92,0.99,0.95
Overall Results,0.99,0.99,0.96,0.98
