Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.91,0.91,0.29,0.38
Nomystery,0.91,0.91,0.78,0.84
Ricochet Robots,0.49,0.49,0.42,0.44
Sokoban,0.85,0.85,0.79,0.82
Overall Results,0.82,0.82,0.51,0.58
