Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.99,0.99,0.97,0.98
Nomystery,0.97,0.97,0.84,0.90
Ricochet Robots,0.96,0.96,0.90,0.93
Sokoban,0.88,0.88,0.83,0.85
Overall Results,0.97,0.97,0.90,0.93
