Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.98,0.98,0.96,0.97
Nomystery,0.92,0.92,0.79,0.85
Ricochet Robots,0.89,0.89,0.68,0.76
Sokoban,0.91,0.91,0.80,0.85
Overall Results,0.94,0.94,0.84,0.88
