Problem Name,Accuracy,Precision,Recall,F1 Score
Labyrinth,0.97,0.97,0.95,0.96
Nomystery,0.93,0.93,0.90,0.92
Ricochet Robots,0.96,0.96,0.89,0.92
Sokoban,0.78,0.78,0.87,0.82
Overall Results,0.94,0.94,0.92,0.92
